Designator,Mid X,Mid Y,Rotation,Layer
C1,78.255,-123.725,0.0,top
C10,83.4,-102.75,0.0,top
C11,61.8,-70.175,180.0,top
C12,64.0,-109.05,90.0,top
C13,70.6,-130.55,0.0,top
C14,41.8,-61.95,0.0,top
C15,41.8,-72.95,0.0,top
C16,110.375,-93.395,90.0,top
C17,112.375,-93.395,90.0,top
C18,110.375,-97.195001,270.0,top
C19,110.375,-100.995001,90.0,top
C2,78.255,-125.725,0.0,top
C20,106.475,-105.095,180.0,top
C21,102.675,-105.095,180.0,top
C22,98.9375,-105.095,180.0,top
C23,95.7,-107.65,180.0,top
C24,117.2,-101.05,90.0,top
C25,85.325,-99.699999,90.0,top
C26,70.8,-94.137499,90.0,top
C27,70.8,-88.55,90.0,top
C28,71.8,-100.7125,180.0,top
C29,87.425,-87.299999,90.0,top
C3,74.455,-123.725,180.0,top
C30,74.0,-85.55,180.0,top
C31,43.4,-79.85,0.0,top
C32,80.945,-62.374999,180.0,top
C33,80.945,-60.374999,180.0,top
C34,84.745,-62.374999,0.0,top
C35,88.545,-62.375,180.0,top
C36,92.644999,-66.275,270.0,top
C37,92.644999,-70.075,270.0,top
C38,92.644999,-73.8125,270.0,top
C39,95.199999,-77.05,270.0,top
C4,70.655,-123.725,0.0,top
C40,88.6,-55.55,180.0,top
C5,66.555,-119.825,90.0,top
C6,66.555,-116.025,90.0,top
C9,66.555,-112.2875,90.0,top
CT1,80.0,-106.45,90.0,top
CT2,93.1,-91.650001,180.0,top
CT3,79.2,-79.65,270.0,top
D2,52.475,-71.185,180.0,top
D3,71.225,-80.65,0.0,top
D4,71.225,-82.75,0.0,top
D5,74.7,-54.35,180.0,top
D6,59.025,-75.2,0.0,top
F1,65.2,-54.34,90.0,top
IC1,74.505,-116.625,180.0,top
IC2,103.275,-97.145001,270.0,top
IC3,84.695,-69.475,0.0,top
J1,54.4,-55.55,0.0,top
J10,73.7,-70.05,90.0,top
J11,109.81,-54.35,0.0,top
J2,85.5,-116.05,270.0,top
J3,49.39,-131.55,180.0,top
J4,51.772,-102.53,270.0,top
J5,61.799999,-102.55,90.0,top
J6,66.725,-92.35,270.0,top
J7,56.125,-91.15,270.0,top
J8,102.7,-86.150001,0.0,top
J9,118.4,-122.36,270.0,top
JP1,67.6,-73.41,180.0,top
L1,52.475,-65.185,90.0,top
Q1,42.42,-111.81,90.0,top
Q10,98.46,-122.2475,180.0,top
Q11,111.240001,-122.27,0.0,top
Q12,98.46,-115.23,180.0,top
Q13,111.240001,-115.23,0.0,top
Q14,116.779999,-74.29,270.0,top
Q15,116.8025,-61.51,90.0,top
Q16,109.797499,-74.29,270.0,top
Q17,109.82,-61.51,90.0,top
Q18,102.779999,-74.29,270.0,top
Q19,102.78,-61.51,90.0,top
Q2,42.3975,-124.59,270.0,top
Q3,49.4025,-111.81,90.0,top
Q4,49.38,-124.59,270.0,top
Q5,56.42,-111.81,90.0,top
Q6,56.42,-124.59,270.0,top
Q8,98.46,-129.23,180.0,top
Q9,111.240001,-129.2525,0.0,top
R1,82.4,-126.15,90.0,top
R10,39.6625,-79.85,0.0,top
R11,68.445,-106.475,270.0,top
R12,70.345,-106.475,90.0,top
R13,62.8,-113.45,180.0,top
R14,62.8,-119.15,180.0,top
R15,62.0,-128.25,270.0,top
R16,62.8,-115.35,180.0,top
R17,62.8,-121.05,180.0,top
R18,62.8,-117.25,180.0,top
R19,62.8,-122.95,180.0,top
R20,67.325,-80.65,180.0,top
R21,76.925,-81.899999,270.0,top
R22,67.325,-82.75,180.0,top
R23,51.6,-79.2,90.0,top
R24,51.6,-75.5,90.0,top
R25,55.225,-75.2,180.0,top
R26,75.2,-103.65,0.0,top
R27,74.2,-106.45,270.0,top
R28,112.8,-89.25,180.0,top
R29,112.8,-86.75,180.0,top
R3,58.275,-62.385,0.0,top
R30,112.8,-84.25,180.0,top
R31,93.1,-95.550001,180.0,top
R32,93.1,-97.450001,0.0,top
R33,90.3,-96.450001,90.0,top
R34,93.1,-99.350001,180.0,top
R35,93.125,-103.205,0.0,top
R36,93.125,-101.305,180.0,top
R37,100.1,-108.85,270.0,top
R38,105.8,-108.85,270.0,top
R39,114.900001,-109.65,0.0,top
R4,62.0,-62.375,0.0,top
R40,102.0,-108.85,270.0,top
R41,107.7,-108.85,270.0,top
R42,103.9,-108.85,270.0,top
R43,109.600001,-108.85,270.0,top
R44,76.8,-59.949999,270.0,top
R45,74.3,-59.949999,270.0,top
R46,71.8,-59.949999,270.0,top
R47,83.1,-79.65,270.0,top
R48,85.0,-79.65,90.0,top
R49,84.0,-82.45,180.0,top
R5,84.9,-126.15,90.0,top
R50,86.9,-79.65,270.0,top
R51,90.754999,-79.625,90.0,top
R52,88.854999,-79.625,270.0,top
R53,96.399999,-72.65,0.0,top
R54,96.399999,-66.95,0.0,top
R55,97.2,-57.85,90.0,top
R56,96.399999,-70.75,0.0,top
R57,96.399999,-65.05,0.0,top
R58,96.399999,-68.85,0.0,top
R59,96.399999,-63.15,0.0,top
R6,87.4,-126.15,90.0,top
R7,76.1,-106.45,90.0,top
R8,72.3,-106.45,90.0,top
R9,78.6,-54.35,0.0,top
RT1,78.0,-106.45,90.0,top
RT2,93.1,-93.650001,180.0,top
RT3,81.2,-79.65,270.0,top
SW1,41.599999,-99.649999,180.0,top
SW2,41.599999,-92.149999,180.0,top
SW3,41.6,-84.65,0.0,top
U1,60.2,-66.35,90.0,top
U2,57.2,-80.1,180.0,top
U3,78.725,-93.299999,270.0,top
